scenario,delta_on,turn,phi,cv,is_drifting,S_fro_norm,step,gamma
DRIFTING,False,16,0.799802,0.021126,0,0.0,0,0.0
DRIFTING,False,17,0.775043,0.018561,0,0.0,0,0.0
DRIFTING,False,18,0.756043,0.025727,0,0.0,0,0.0
DRIFTING,False,19,0.711682,0.044512,0,0.0,0,0.0
DRIFTING,False,20,0.720441,0.049055,0,0.0,0,0.0
DRIFTING,False,21,0.693464,0.045658,0,0.0,0,0.0
DRIFTING,False,22,0.72898,0.031961,0,0.0,0,0.0
DRIFTING,False,23,0.71166,0.018489,0,0.0,0,0.0
DRIFTING,False,24,0.718136,0.018629,0,0.0,0,0.0
DRIFTING,False,25,0.642142,0.048988,0,0.0,0,0.0
DRIFTING,False,26,0.716157,0.049528,0,0.0,0,0.0
DRIFTING,False,27,0.720793,0.047741,0,0.0,0,0.0
DRIFTING,False,28,0.694551,0.047416,0,0.0,0,0.0
DRIFTING,False,29,0.689213,0.045149,0,0.0,0,0.0
DRIFTING,False,30,0.667688,0.03088,0,0.0,0,0.0
DRIFTING,False,31,0.651168,0.038875,0,0.0,0,0.0
DRIFTING,False,32,0.660993,0.02757,0,0.0,0,0.0
DRIFTING,False,33,0.635027,0.030377,0,0.0,0,0.0
DRIFTING,False,34,0.641374,0.020685,0,0.0,0,0.0
DRIFTING,False,35,0.641598,0.015723,0,0.0,0,0.0
DRIFTING,False,36,0.609018,0.029352,0,0.0,0,0.0
DRIFTING,False,37,0.62579,0.021651,0,0.0,0,0.0
DRIFTING,False,38,0.623093,0.02184,0,0.0,0,0.0
DRIFTING,False,39,0.60763,0.022371,0,0.0,0,0.0
DRIFTING,False,40,0.587598,0.024934,0,0.0,0,0.0
DRIFTING,False,41,0.596053,0.027316,0,0.0,0,0.0
DRIFTING,False,42,0.575576,0.030576,0,0.0,0,0.0
DRIFTING,False,43,0.613343,0.025497,0,0.0,0,0.0
DRIFTING,False,44,0.5945,0.023188,0,0.0,0,0.0
DRIFTING,False,45,0.578184,0.025884,0,0.0,0,0.0
DRIFTING,False,46,0.562726,0.033384,0,0.0,0,0.0
DRIFTING,False,47,0.54521,0.045929,0,0.0,0,0.0
DRIFTING,False,48,0.50877,0.059105,0,0.0,0,0.0
DRIFTING,False,49,0.554007,0.047212,0,0.0,0,0.0
DRIFTING,False,50,0.559056,0.03993,0,0.0,0,0.0
DRIFTING,False,51,0.512886,0.043918,0,0.0,0,0.0
DRIFTING,False,52,0.466937,0.072381,0,0.0,0,0.0
DRIFTING,False,53,0.532528,0.071105,0,0.0,0,0.0
DRIFTING,False,54,0.501258,0.066977,0,0.0,0,0.0
DRIFTING,False,55,0.569285,0.073363,0,0.0,0,0.0
DRIFTING,False,56,0.460553,0.090126,0,0.0,0,0.0
DRIFTING,False,57,0.52817,0.077913,0,0.0,0,0.0
DRIFTING,False,58,0.466837,0.089153,0,0.0,0,0.0
DRIFTING,False,59,0.484389,0.091729,0,0.0,0,0.0
DRIFTING,False,60,0.477632,0.055058,0,0.0,0,0.0
DRIFTING,False,61,0.499907,0.048441,0,0.0,0,0.0
DRIFTING,False,62,0.468205,0.028213,0,0.0,0,0.0
DRIFTING,False,63,0.494812,0.02639,0,0.0,0,0.0
DRIFTING,False,64,0.45545,0.038478,0,0.0,0,0.0
DRIFTING,False,65,0.447438,0.049384,0,0.0,0,0.0
DRIFTING,False,66,0.488962,0.043701,0,0.0,0,0.0
DRIFTING,False,67,0.474424,0.04354,0,0.0,0,0.0
DRIFTING,False,68,0.465962,0.034786,0,0.0,0,0.0
DRIFTING,False,69,0.443812,0.040559,0,0.0,0,0.0
DRIFTING,False,70,0.462817,0.03539,0,0.0,0,0.0
DRIFTING,False,71,0.38934,0.076608,0,0.0,0,0.0
DRIFTING,False,72,0.404644,0.079963,0,0.0,0,0.0
DRIFTING,False,73,0.379789,0.085955,0,0.0,0,0.0
DRIFTING,False,74,0.407461,0.078859,0,0.0,0,0.0
DRIFTING,False,75,0.340568,0.070156,0,0.0,0,0.0
DRIFTING,False,76,0.348486,0.082329,0,0.0,0,0.0
DRIFTING,False,77,0.368439,0.072032,0,0.0,0,0.0
DRIFTING,False,78,0.363805,0.07081,0,0.0,0,0.0
DRIFTING,False,79,0.39265,0.055523,0,0.0,0,0.0
DRIFTING,False,80,0.365931,0.043205,0,0.0,0,0.0
DRIFTING,False,81,0.350768,0.041312,0,0.0,0,0.0
DRIFTING,False,82,0.32789,0.065575,0,0.0,0,0.0
DRIFTING,False,83,0.309535,0.092726,0,0.0,0,0.0
DRIFTING,False,84,0.372947,0.076624,0,0.0,0,0.0
DRIFTING,False,85,0.430194,0.130493,0,0.0,0,0.0
DRIFTING,False,86,0.348433,0.130957,0,0.0,0,0.0
DRIFTING,False,87,0.343071,0.124389,0,0.0,0,0.0
DRIFTING,False,88,0.292746,0.139914,0,0.0,0,0.0
DRIFTING,False,89,0.2856,0.170278,0,0.0,0,0.0
DRIFTING,False,90,0.266074,0.119097,0,0.0,0,0.0
DRIFTING,False,91,0.355047,0.12485,0,0.0,0,0.0
DRIFTING,False,92,0.254577,0.134086,0,0.0,0,0.0
DRIFTING,False,93,0.29816,0.134075,0,0.0,0,0.0
DRIFTING,False,94,0.346193,0.149847,0,0.0,0,0.0
DRIFTING,False,95,0.28761,0.136051,0,0.0,0,0.0
DRIFTING,False,96,0.298287,0.110546,0,0.0,0,0.0
DRIFTING,False,97,0.220059,0.156003,0,0.0,0,0.0
DRIFTING,False,98,0.244857,0.175339,0,0.0,0,0.0
DRIFTING,False,99,0.258737,0.121284,0,0.0,0,0.0
MIXED,True,0,0.776511,0.0,0,0.1,1,0.822643
MIXED,True,1,0.887024,0.0,0,0.135159,2,0.822643
MIXED,True,2,0.92,0.067609,0,0.16463,3,0.686085
MIXED,True,3,0.882614,0.048873,0,0.184874,4,0.710945
MIXED,True,4,0.693898,0.117159,0,0.199819,5,0.746199
MIXED,True,5,0.608248,0.164817,0,0.215223,6,0.683343
MIXED,True,6,0.59424,0.176673,0,0.227334,7,0.664326
MIXED,True,7,0.734149,0.141797,0,0.234155,8,0.716453
MIXED,True,8,0.92,0.169111,0,0.243158,9,0.676604
MIXED,True,9,0.92,0.154161,0,0.245929,10,0.699308
MIXED,True,10,0.830381,0.129809,0,0.263861,11,0.731655
MIXED,True,11,0.686347,0.141504,0,0.267086,12,0.716841
MIXED,True,12,0.548782,0.196263,0,0.267962,13,0.630227
MIXED,True,13,0.661142,0.162906,0,0.260783,14,0.686285
MIXED,True,14,0.768059,0.144629,0,0.270439,15,0.712659
MIXED,True,15,0.899828,0.157839,0,0.279702,16,0.693921
MIXED,True,16,0.92,0.14847,0,0.270507,17,0.707386
MIXED,True,17,0.829819,0.125957,0,0.282246,18,0.736244
MIXED,True,18,0.64881,0.152213,0,0.29443,19,0.702109
MIXED,True,19,0.563034,0.191587,0,0.289911,20,0.638646
